link,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
https://www.zomato.com/pune/govind-garden-pimple-saudagar,"Govind Garden
                                    ",Casual Dining,Pimple Saudagar,2,657,3.7,583,"Seafood,Chinese,North Indian,","1,000","Naan, Fish, Vegetable Biryani, Veg Manchurian, Masala Papad, Dal Fry, Kadhai Paneer"
https://www.zomato.com/pune/the-gusto-cafe-wagholi,"The Gusto Cafe
                                    ",Quick Bites,Wagholi,3.8,85,,,"Healthy Food,Juices,Fast Food,",400,
https://www.zomato.com/pune/aye-mere-pyaare-mutton-pimple-nilakh,"Aye Mere Pyaare Mutton
                                    ",NA,Pimple Nilakh,3.2,169,,,"North Indian,",650,"Mutton Pulao, Ghee Roast Mutton, Mutton Masala, Kolhapuri Mutton, Pandhra Rassa, Mutton Keema"
https://www.zomato.com/pune/rajveer-pure-veg-katraj,"Rajveer Pure Veg
                                    ",Casual Dining,Katraj,3.6,140,3.6,6018,"North Indian,Chinese,",650,
https://www.zomato.com/pune/intreat-pimple-nilakh,"Intreat
                                    ",Casual Dining,Pimple Nilakh,4,503,3.3,5491,"Afghan,Mughlai,North Indian,Biryani,",750,"Biryani, Butter Chicken, Dal Makhani, Paneer Lifafa, Nawabi Pulao, Naan, Roti"
https://www.zomato.com/pune/siilver-spoon-family-resto-bar-wakad,"Siilver Spoon Family Resto & Bar
                                    ","Casual Dining,Bar",Wakad,3.9,289,3.6,1476,"Beverages,Continental,Seafood,Asian,Mughlai,North Indian,","1,100","Paneer Musallam, Tandoori Chicken, Sea Food, Pasta, Noodle"
https://www.zomato.com/pune/hotel-grand-malhar-hinjawadi,"Hotel Grand Malhar
                                    ",Quick Bites,Hinjawadi,3.2,13,,,"Malwani,Chinese,North Indian,Maharashtrian,",450,
https://www.zomato.com/pune/srikrushna-bakers-1-pune-solapur-road,"Srikrushna Bakers
                                    ",Bakery,Pune-Solapur Road,,,,,"Bakery,",150,
https://www.zomato.com/pune/hot-bean-cafe-camp-area,"Hot Bean Cafe
                                    ",Quick Bites,Camp Area,,,,,"Beverages,Fast Food,",200,
https://www.zomato.com/pune/khana-khajana-lohegaon,"Khana Khajana
                                    ",NA,Lohegaon,,,,,"Biryani,Maharashtrian,Chinese,North Indian,",500,
https://www.zomato.com/pune/balle-balle-lohegaon,"Balle Balle
                                    ",NA,Lohegaon,,,,,"Chinese,",500,
https://www.zomato.com/pune/sai-snacks-and-chapati-bhakari-center-pimpri,"Sai Snacks And Chapati Bhakari Center
                                    ",NA,Pimpri,,,,,"Maharashtrian,",100,
https://www.zomato.com/pune/chef-shanghai-wadgaon-sheri,"Chef Shanghai
                                    ",NA,Wadgaon Sheri,3.7,6711,,,"Asian,Fast Food,Chinese,",300,"Noodle, Momos, Crispy Chicken, Chicken Roll, Fried Rice Chicken"
https://www.zomato.com/pune/house-of-chinese-erandwane,"House Of Chinese
                                    ",NA,Erandwane,3.1,180,,,"Chinese,",250,
https://www.zomato.com/pune/ya-basa-the-dhaba-kharadi,"Ya Basa-The Dhaba
                                    ",Casual Dining,Kharadi,4.2,1962,3.6,4289,"Biryani,Kebab,Chinese,Maharashtrian,North Indian,Seafood,",700,"Tandoori Chicken, Murgh Matka Biryani, Paneer Musallam, Gulab Jamun, Gavran Chicken, Dal Tadka, Chicken Biryani"
https://www.zomato.com/pune/the-cake-house-cafe-narhe,"The Cake House & Cafe
                                    ",Bakery,Narhe,3.5,19,4.2,686,"Fast Food,Bakery,",300,
https://www.zomato.com/pune/lucknow-meri-jaan-pimple-nilakh,"Lucknow Meri Jaan
                                    ",Casual Dining,Pimple Nilakh,4.4,527,3.6,3259,"Mughlai,Lucknowi,Biryani,",600,"Paratha, Galauti Kebab, Shami Kebab, Lucknowi Biryani, Boti Kebab, Rolls, Rumali Roti"
https://www.zomato.com/pune/planet-9-bavdhan,"Planet 9
                                    ","Bar,Casual Dining",Bavdhan,4.4,788,3.3,49,"Biryani,Mughlai,North Indian,","1,800","Biryani, Bannoffee Pie, Mushroom Tikka, Noodle, Pasta, Mocktails, Bhuna Gosht"
https://www.zomato.com/pune/ananda-homemade-food-chandan-nagar,"Ananda Homemade Food
                                    ",NA,Chandan Nagar,,,,,"Pizza,",350,
https://www.zomato.com/pune/meal-o-meal-baner,"Meal O Meal
                                    ",NA,Baner,3.8,294,,,"Biryani,North Indian,",300,"Deluxe Punjabi Thali, Chicken Tikka Biryani"
